TF	JASPAR ID	Class	Family	Tax Group	IC	GC Content	Target region hits	Target region non-hits	Background region hits	Background region non-hits	Target TFBS hits	Target TFBS nucleotide rate	Background TFBS hits	Background TFBS nucleotide rate	Z-score	Fisher score
GMEB2	MA0862.1	SAND domain factors	GMEB	vertebrates	9.886	0.392	347	663	273	737	464	0.003	341	0.002	18.831	8.458
NFATC1	MA0624.1	Rel homology region (RHR) factors	NFAT-related factors	vertebrates	8.040	0.411	916	94	865	145	3058	0.028	2775	0.025	17.138	8.197
FOXD2	MA0847.1	Fork head / winged helix factors	Forkhead box (FOX) factors	vertebrates	8.622	0.249	968	42	932	78	6583	0.042	6557	0.042	0.785	7.688
RFX3	MA0798.1	Fork head / winged helix factors	RFX-related factors	vertebrates	16.894	0.507	92	918	53	957	101	0.001	57	0.001	23.289	7.605
RUNX1	MA0002.2	Runt domain factors	Runt-related factors	vertebrates	10.401	0.502	844	166	786	224	2001	0.020	1674	0.017	26.672	7.343
SPIC	MA0687.1	Tryptophan cluster factors	Ets-related factors	vertebrates	13.235	0.421	258	752	198	812	309	0.004	227	0.003	20.360	7.087
ZNF740	MA0753.1	C2H2 zinc finger factors	Other factors with up to three adjacent zinc fingers	vertebrates	12.467	0.786	757	253	693	317	2004	0.018	2011	0.018	-0.554	6.997
ELF4	MA0641.1	Tryptophan cluster factors	Ets-related factors	vertebrates	16.253	0.606	187	823	135	875	207	0.002	149	0.002	16.443	6.957
Stat6	MA0520.1	STAT domain factors	STAT factors	vertebrates	14.063	0.406	431	579	363	647	619	0.008	511	0.007	18.527	6.784
ELF5	MA0136.2	Tryptophan cluster factors	Ets-related factors	vertebrates	10.425	0.538	939	71	899	111	2909	0.029	2367	0.024	37.322	6.740
Nr2e1	MA0676.1	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	vertebrates	11.374	0.291	631	379	563	447	1209	0.010	1055	0.009	14.242	6.718
ELF1	MA0473.2	Tryptophan cluster factors	Ets-related factors	vertebrates	16.243	0.536	247	763	190	820	294	0.003	216	0.002	18.374	6.704
IRF7	MA0772.1	Tryptophan cluster factors	Interferon-regulatory factors	vertebrates	17.627	0.419	128	882	86	924	145	0.002	90	0.001	21.674	6.514
RFX4	MA0799.1	Fork head / winged helix factors	RFX-related factors	vertebrates	15.596	0.481	137	873	94	916	158	0.002	104	0.002	21.165	6.421
FOXD1	MA0031.1	Fork head / winged helix factors	Forkhead box (FOX) factors	vertebrates	11.926	0.275	610	400	544	466	1251	0.009	1141	0.008	9.207	6.359
RUNX3	MA0684.1	Runt domain factors	Runt-related factors	vertebrates	11.687	0.452	642	368	577	433	1039	0.009	862	0.008	19.096	6.323
JDP2(var.2)	MA0656.1	Basic leucine zipper factors (bZIP)	Fos-related factors	vertebrates	17.511	0.485	135	875	94	916	156	0.002	105	0.001	17.221	6.009
FOXO3	MA0157.2	Fork head / winged helix factors	Forkhead box (FOX) factors	vertebrates	13.427	0.265	570	440	506	504	1076	0.008	1014	0.007	5.488	6.002
SCRT2	MA0744.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	17.902	0.568	128	882	89	921	139	0.002	92	0.001	17.647	5.773
Foxj2	MA0614.1	Fork head / winged helix factors	Forkhead box (FOX) factors	vertebrates	11.782	0.247	783	227	729	281	2372	0.017	2482	0.018	-6.356	5.724
SCRT1	MA0743.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	17.728	0.573	98	912	64	946	107	0.001	64	0.001	20.795	5.697
Stat4	MA0518.1	STAT domain factors	STAT factors	vertebrates	13.473	0.446	626	384	566	444	1067	0.014	988	0.013	9.414	5.574
NFYB	MA0502.1	Heteromeric CCAAT-binding factors	Heteromeric CCAAT-binding factors	vertebrates	14.488	0.501	287	723	234	776	381	0.005	332	0.005	10.404	5.504
IRF2	MA0051.1	Tryptophan cluster factors	Interferon-regulatory factors	vertebrates	21.134	0.412	37	973	17	993	37	0.001	17	0.000	20.544	5.499
Ascl2	MA0816.1	Basic helix-loop-helix factors (bHLH)	MyoD / ASC-related factors	vertebrates	12.850	0.580	666	344	608	402	1183	0.011	1037	0.009	14.360	5.452
IRF8	MA0652.1	Tryptophan cluster factors	Interferon-regulatory factors	vertebrates	22.505	0.465	49	961	26	984	50	0.001	26	0.000	17.578	5.382
BSX	MA0876.1	Homeo domain factors	NK-related factors	vertebrates	8.513	0.311	889	121	849	161	3813	0.028	3862	0.028	-2.330	5.100
KLF16	MA0741.1	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	13.161	0.767	875	135	834	176	3673	0.037	3557	0.035	6.491	4.993
FOXO4	MA0848.1	Fork head / winged helix factors	Forkhead box (FOX) factors	vertebrates	10.660	0.295	888	122	849	161	3597	0.023	3415	0.022	8.268	4.910
FOXF2	MA0030.1	Fork head / winged helix factors	Forkhead box (FOX) factors	vertebrates	14.824	0.334	127	883	92	918	135	0.002	100	0.001	13.075	4.905
POU3F4	MA0789.1	Homeo domain factors	POU domain factors	vertebrates	13.378	0.229	406	604	353	657	695	0.006	603	0.005	11.231	4.775
POU5F1B	MA0792.1	Homeo domain factors	POU domain factors	vertebrates	10.558	0.254	517	493	463	547	1105	0.009	1036	0.008	6.417	4.695
FOXI1	MA0042.2	Fork head / winged helix factors	Forkhead box (FOX) factors	vertebrates	11.617	0.289	761	249	713	297	1994	0.013	1858	0.012	8.349	4.683
FOXH1	MA0479.1	Fork head / winged helix factors	Forkhead box (FOX) factors	vertebrates	13.762	0.401	586	424	533	477	956	0.010	941	0.009	1.587	4.610
ZNF263	MA0528.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	16.073	0.597	742	268	694	316	1708	0.032	1563	0.030	16.989	4.555
FOXL1	MA0033.2	Fork head / winged helix factors	Forkhead box (FOX) factors	vertebrates	10.626	0.221	924	86	892	118	4767	0.030	4818	0.031	-2.045	4.515
EN2	MA0642.1	Homeo domain factors	NK-related factors	vertebrates	8.619	0.377	854	156	814	196	2345	0.021	2230	0.020	7.720	4.507
MSC	MA0665.1	Basic helix-loop-helix factors (bHLH)	Tal-related factors	vertebrates	14.856	0.452	226	784	184	826	269	0.002	199	0.002	15.675	4.455
EBF1	MA0154.3	Rel homology region (RHR) factors	Early B-Cell Factor-related factors	vertebrates	16.027	0.559	203	807	163	847	231	0.003	186	0.002	12.330	4.415
IRF1	MA0050.2	Tryptophan cluster factors	Interferon-regulatory factors	vertebrates	17.950	0.357	131	879	98	912	156	0.003	105	0.002	22.799	4.400
LBX1	MA0618.1	Homeo domain factors	NK-related factors	vertebrates	10.149	0.240	668	342	619	391	1576	0.011	1551	0.011	1.760	4.331
NKX2-3	MA0672.1	Homeo domain factors	NK-related factors	vertebrates	10.899	0.485	949	61	922	88	2902	0.026	2986	0.027	-4.994	4.320
Tcf7	MA0769.1	Basic helix-loop-helix factors (bHLH)	TCF-7-related factors	vertebrates	16.918	0.356	119	891	88	922	125	0.001	93	0.001	11.471	4.285
NFAT5	MA0606.1	Rel homology region (RHR) factors	NFAT-related factors	vertebrates	10.151	0.333	896	114	862	148	3341	0.030	3112	0.028	13.097	4.244
NFYA	MA0060.2	Heteromeric CCAAT-binding factors	Heteromeric CCAAT-binding factors	vertebrates	16.655	0.516	115	895	85	925	137	0.002	108	0.002	11.820	4.182
ESR2	MA0258.2	Nuclear receptors with C4 zinc fingers	Steroid hormone receptors (NR3)	vertebrates	13.119	0.581	453	557	404	606	633	0.009	560	0.008	11.952	4.177
Sox3	MA0514.1	High-mobility group (HMG) domain factors	SOX-related factors	vertebrates	13.042	0.401	923	87	893	117	3211	0.029	3083	0.028	7.324	4.134
HOXA5	MA0158.1	Homeo domain factors	HOX-related factors	vertebrates	8.759	0.315	930	80	901	109	4148	0.030	4503	0.033	-15.284	4.129
Rfx1	MA0509.1	Fork head / winged helix factors	RFX-related factors	vertebrates	15.161	0.557	177	833	141	869	197	0.002	156	0.002	12.265	4.123
NRF1	MA0506.1	Basic leucine zipper factors (bZIP)	Jun-related factors	vertebrates	14.300	0.810	803	207	763	247	3984	0.040	3871	0.039	6.062	3.975
RFX5	MA0510.2	Fork head / winged helix factors	RFX-related factors	vertebrates	20.460	0.515	31	979	16	994	33	0.000	17	0.000	15.485	3.971
MYBL1	MA0776.1	Tryptophan cluster factors	Myb/SANT domain factors	vertebrates	15.281	0.526	66	944	44	966	71	0.001	45	0.000	13.397	3.936
Atf3	MA0605.1	Basic leucine zipper factors (bZIP)	Fos-related factors	vertebrates	11.483	0.498	663	347	618	392	1203	0.009	1025	0.007	15.742	3.862
ELF3	MA0640.1	Tryptophan cluster factors	Ets-related factors	vertebrates	17.342	0.584	134	876	104	906	144	0.002	116	0.001	9.351	3.790
Nobox	MA0125.1	Homeo domain factors	Paired-related HD factors	vertebrates	9.573	0.260	595	415	550	460	1183	0.009	1188	0.009	-0.453	3.726
ATF7	MA0834.1	Basic leucine zipper factors (bZIP)	Jun-related factors	vertebrates	17.313	0.456	110	900	83	927	125	0.002	93	0.001	12.394	3.712
DLX6	MA0882.1	Homeo domain factors	NK-related factors	vertebrates	8.327	0.229	837	173	802	208	3360	0.024	3544	0.026	-8.920	3.630
FOXO6	MA0849.1	Fork head / winged helix factors	Forkhead box (FOX) factors	vertebrates	11.992	0.294	849	161	815	195	2926	0.019	2890	0.018	1.732	3.614
TCF7L2	MA0523.1	Basic helix-loop-helix factors (bHLH)	TCF-7-related factors	vertebrates	13.486	0.398	520	490	476	534	854	0.011	752	0.010	13.939	3.582
HNF4G	MA0484.1	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	vertebrates	13.379	0.492	634	376	591	419	1055	0.014	938	0.013	14.840	3.580
LEF1	MA0768.1	High-mobility group (HMG) domain factors	TCF-7-related factors	vertebrates	17.861	0.425	57	953	38	972	60	0.001	39	0.001	12.995	3.540
Gmeb1	MA0615.1	SAND domain factors	GMEB	vertebrates	8.363	0.521	298	712	259	751	386	0.006	318	0.005	15.724	3.533
MEIS2	MA0774.1	Homeo domain factors	TALE-type homeo domain factors	vertebrates	10.958	0.494	786	224	749	261	1768	0.013	1577	0.011	13.634	3.495
E2F4	MA0470.1	Fork head / winged helix factors	E2F-related factors	vertebrates	13.176	0.729	862	148	830	180	4930	0.049	4714	0.047	10.598	3.485
CREB3L1	MA0839.1	Basic leucine zipper factors (bZIP)	CREB-related factors	vertebrates	17.262	0.560	32	978	18	992	32	0.000	18	0.000	12.309	3.480
SP4	MA0685.1	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	19.967	0.677	351	659	311	699	534	0.008	507	0.008	4.923	3.435
CEBPE	MA0837.1	Basic leucine zipper factors (bZIP)	C/EBP-related	vertebrates	11.682	0.433	567	443	525	485	952	0.009	932	0.008	2.039	3.394
TFCP2	MA0145.3	Grainyhead domain factors	CP2-related factors	vertebrates	11.701	0.441	313	697	275	735	377	0.003	331	0.003	7.976	3.354
Rarg(var.2)	MA0860.1	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)	vertebrates	25.520	0.537	12	998	4	1006	12	0.000	4	0.000	16.426	3.275
NFATC3	MA0625.1	Rel homology region (RHR) factors	NFAT-related factors	vertebrates	8.847	0.381	821	189	788	222	2144	0.019	2013	0.018	9.261	3.259
FOXC1	MA0032.2	Fork head / winged helix factors	Forkhead box (FOX) factors	vertebrates	11.875	0.201	665	345	626	384	1805	0.018	1979	0.020	-13.158	3.240
NFIA	MA0670.1	SMAD/NF-1 DNA-binding domain factors	Nuclear factor 1	vertebrates	12.177	0.500	319	691	282	728	396	0.004	358	0.003	6.330	3.222
NFKB1	MA0105.4	Rel homology region (RHR) factors	NF-kappaB-related factors	vertebrates	20.522	0.671	98	912	75	935	106	0.001	80	0.001	10.457	3.219
FOXP2	MA0593.1	Fork head / winged helix factors	Forkhead box (FOX) factors	vertebrates	13.802	0.305	577	433	537	473	1098	0.011	1137	0.011	-3.903	3.206
STAT1	MA0137.3	STAT domain factors	STAT factors	vertebrates	14.582	0.415	639	371	600	410	1104	0.011	1008	0.010	10.034	3.188
RFX2	MA0600.2	Fork head / winged helix factors	RFX-related factors	vertebrates	20.246	0.536	47	963	31	979	49	0.001	32	0.000	11.991	3.187
ZBTB33	MA0527.1	C2H2 zinc finger factors	Other factors with up to three adjacent zinc fingers	vertebrates	14.336	0.609	176	834	147	863	204	0.003	178	0.002	7.527	3.112
RUNX2	MA0511.2	Runt domain factors	Runt-related factors	vertebrates	11.551	0.475	716	294	680	330	1313	0.011	1174	0.010	12.184	3.081
STAT3	MA0144.2	STAT domain factors	STAT factors	vertebrates	13.049	0.436	925	85	902	108	3017	0.030	2832	0.028	11.625	3.040
Bcl6	MA0463.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	13.663	0.433	261	749	228	782	302	0.004	266	0.003	8.241	3.032
FOXP3	MA0850.1	Fork head / winged helix factors	Forkhead box (FOX) factors	vertebrates	8.594	0.299	956	54	937	73	5579	0.035	5387	0.034	6.966	3.010
NKX6-1	MA0674.1	Homeo domain factors	NK-related factors	vertebrates	9.183	0.199	762	248	729	281	2565	0.019	2525	0.018	2.216	2.944
Myog	MA0500.1	Basic helix-loop-helix factors (bHLH)	MyoD / ASC-related factors	vertebrates	13.109	0.621	960	50	942	68	3952	0.039	3495	0.035	26.015	2.933
TFAP2B(var.3)	MA0813.1	Basic helix-span-helix factors (bHSH)	AP-2	vertebrates	14.355	0.726	582	428	545	465	1018	0.012	975	0.011	4.947	2.930
Sox2	MA0143.3	High-mobility group (HMG) domain factors	SOX-related factors	vertebrates	13.532	0.436	925	85	903	107	2793	0.020	2710	0.020	4.496	2.892
LIN54	MA0619.1	CRC domain	-	vertebrates	11.299	0.189	678	332	643	367	1785	0.015	1886	0.015	-7.082	2.885
Tcf21	MA0832.1	Basic helix-loop-helix factors (bHLH)	Tal-related factors	vertebrates	18.108	0.461	48	962	33	977	50	0.001	35	0.000	9.457	2.884
PROX1	MA0794.1	Homeo domain factors	HD-PROS factors	vertebrates	16.936	0.455	108	902	86	924	113	0.001	90	0.001	8.374	2.877
TFAP2C(var.3)	MA0815.1	Basic helix-span-helix factors (bHSH)	AP-2	vertebrates	14.479	0.780	600	410	564	446	1129	0.013	1077	0.013	5.701	2.856
MYF6	MA0667.1	Basic helix-loop-helix factors (bHLH)	MyoD / ASC-related factors	vertebrates	14.583	0.392	235	775	205	805	289	0.003	231	0.002	12.050	2.831
JUN	MA0488.1	Basic leucine zipper factors (bZIP)	Jun-related factors	vertebrates	15.128	0.380	446	564	411	599	604	0.007	605	0.007	-0.185	2.766
MNX1	MA0707.1	Homeo domain factors	HOX-related factors	vertebrates	8.729	0.228	713	297	681	329	2075	0.019	2417	0.022	-22.299	2.690
Foxo1	MA0480.1	Fork head / winged helix factors	Forkhead box (FOX) factors	vertebrates	13.240	0.365	626	384	593	417	1256	0.012	1151	0.011	10.276	2.621
HOXC10	MA0905.1	Homeo domain factors	HOX-related factors	vertebrates	11.056	0.327	626	384	593	417	1427	0.013	1498	0.014	-5.889	2.621
Znf423	MA0116.1	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers	vertebrates	17.925	0.679	424	586	391	619	612	0.008	524	0.007	14.901	2.613
GBX1	MA0889.1	Homeo domain factors	HOX-related factors	vertebrates	10.843	0.319	561	449	528	482	973	0.009	979	0.009	-0.650	2.569
MGA	MA0801.1	T-Box factors	TBX6-related factors	vertebrates	10.832	0.509	942	68	924	86	2882	0.021	2948	0.021	-3.535	2.565
TFAP2A(var.3)	MA0872.1	Basic helix-span-helix factors (bHSH)	AP-2	vertebrates	14.096	0.784	531	479	498	512	959	0.011	890	0.010	8.337	2.562
Mafb	MA0117.2	Basic leucine zipper factors (bZIP)	Maf-related factors	vertebrates	11.336	0.444	417	593	385	625	578	0.006	549	0.006	4.264	2.534
FOXG1	MA0613.1	Fork head / winged helix factors	Forkhead box (FOX) factors	vertebrates	13.341	0.225	681	329	650	360	1710	0.012	1887	0.014	-11.652	2.531
FOXA1	MA0148.3	Fork head / winged helix factors	Forkhead box (FOX) factors	vertebrates	13.765	0.334	610	400	578	432	1300	0.018	1304	0.018	-0.488	2.519
Arid3a	MA0151.1	ARID domain factors	ARID-related factors	vertebrates	9.896	0.062	746	264	717	293	2512	0.014	2742	0.015	-10.889	2.506
MYBL2	MA0777.1	Tryptophan cluster factors	Myb/SANT domain factors	vertebrates	16.774	0.467	13	997	6	1004	13	0.000	6	0.000	11.010	2.495
TBX1	MA0805.1	T-Box factors	TBX1-related factors	vertebrates	12.823	0.498	730	280	701	309	1372	0.010	1447	0.010	-5.649	2.463
JUND(var.2)	MA0492.1	Basic leucine zipper factors (bZIP)	Jun-related factors	vertebrates	15.021	0.393	418	592	387	623	563	0.008	546	0.007	2.789	2.449
SP2	MA0516.1	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	13.721	0.768	897	113	876	134	4813	0.065	4652	0.063	9.341	2.440
CEBPB	MA0466.2	Basic leucine zipper factors (bZIP)	C/EBP-related	vertebrates	12.768	0.434	573	437	542	468	975	0.009	986	0.009	-1.154	2.411
ZIC1	MA0696.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	18.774	0.762	332	678	303	707	416	0.005	411	0.005	0.891	2.410
Dux	MA0611.1	Homeo domain factors	Paired-related HD factors	vertebrates	11.804	0.338	400	610	370	640	573	0.004	556	0.004	2.011	2.386
SPDEF	MA0686.1	Tryptophan cluster factors	Ets-related factors	vertebrates	14.474	0.536	390	620	361	649	505	0.005	463	0.005	6.454	2.316
TGIF2	MA0797.1	Homeo domain factors	TALE-type homeo domain factors	vertebrates	18.378	0.488	61	949	47	963	62	0.001	49	0.001	6.404	2.311
POU2F1	MA0785.1	Homeo domain factors	POU domain factors	vertebrates	12.044	0.265	347	663	319	691	535	0.006	518	0.006	2.559	2.296
EGR4	MA0733.1	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	13.890	0.635	226	784	202	808	267	0.004	249	0.004	4.539	2.252
EWSR1-FLI1	MA0149.1	Tryptophan cluster factors	Ets-related factors	vertebrates	32.871	0.554	26	984	17	993	31	0.001	24	0.000	6.031	2.221
CREB3	MA0638.1	Basic leucine zipper factors (bZIP)	CREB-related factors	vertebrates	15.483	0.552	77	933	62	948	82	0.001	65	0.001	7.864	2.215
BARX1	MA0875.1	Homeo domain factors	NK-related factors	vertebrates	8.892	0.306	878	132	858	152	3673	0.027	4161	0.030	-21.794	2.190
CEBPD	MA0836.1	Basic leucine zipper factors (bZIP)	C/EBP-related	vertebrates	13.212	0.426	484	526	456	554	721	0.007	747	0.007	-3.055	2.170
XBP1	MA0844.1	Basic leucine zipper factors (bZIP)	XBP-1-related factors	vertebrates	15.475	0.537	94	916	78	932	100	0.001	83	0.001	6.957	2.155
HSF4	MA0771.1	Heat shock factors	HSF factors	vertebrates	13.629	0.398	232	778	209	801	259	0.003	241	0.003	4.156	2.137
Pou2f3	MA0627.1	Homeo domain factors	POU domain factors	vertebrates	15.067	0.318	85	925	70	940	90	0.001	78	0.001	5.410	2.113
GATA3	MA0037.2	Other C4 zinc finger-type factors	GATA-type zinc fingers	vertebrates	13.796	0.265	786	224	763	247	2314	0.017	2196	0.016	7.125	2.091
Nkx2-5	MA0063.1	Homeo domain factors	NK-related factors	vertebrates	8.270	0.218	833	177	812	198	3320	0.021	3389	0.021	-3.230	2.070
NRL	MA0842.1	Basic leucine zipper factors (bZIP)	Maf-related factors	vertebrates	8.257	0.452	849	161	829	181	2088	0.021	1921	0.019	12.700	2.042
BATF3	MA0835.1	Basic leucine zipper factors (bZIP)	B-ATF-related factors	vertebrates	23.217	0.484	13	997	7	1003	13	0.000	8	0.000	6.562	2.037
SNAI2	MA0745.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	9.486	0.570	1006	4	1001	9	5664	0.046	5691	0.046	-1.186	2.020
EGR2	MA0472.2	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	15.289	0.730	505	505	479	531	886	0.009	853	0.008	3.722	2.018
HOXC11	MA0651.1	Homeo domain factors	HOX-related factors	vertebrates	12.647	0.358	319	691	295	715	436	0.004	395	0.004	6.822	2.018
POU3F2	MA0787.1	Homeo domain factors	POU domain factors	vertebrates	13.773	0.240	242	768	220	790	330	0.004	296	0.003	6.825	2.018
POU2F2	MA0507.1	Homeo domain factors	POU domain factors	vertebrates	15.114	0.289	321	689	297	713	475	0.006	459	0.005	2.665	2.015
SMAD3	MA0795.1	SMAD/NF-1 DNA-binding domain factors	SMAD factors	vertebrates	15.611	0.453	114	896	98	912	123	0.001	104	0.001	5.866	1.980
Esrra	MA0592.2	Nuclear receptors with C4 zinc fingers	Steroid hormone receptors (NR3)	vertebrates	17.764	0.409	132	878	115	895	142	0.001	124	0.001	5.336	1.976
TBX5	MA0807.1	T-Box factors	TBX2-related factors	vertebrates	8.477	0.507	950	60	937	73	3130	0.023	3231	0.023	-5.147	1.960
INSM1	MA0155.1	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers	vertebrates	14.862	0.667	579	431	554	456	956	0.010	911	0.010	5.146	1.959
FOS::JUN	MA0099.2	Basic leucine zipper factors (bZIP)::Basic leucine zipper factors (bZIP)	Fos-related factors::Jun-related factors	vertebrates	9.193	0.405	924	86	909	101	3143	0.020	3301	0.021	-7.411	1.957
ZIC4	MA0751.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	13.598	0.697	464	546	439	571	725	0.010	719	0.010	0.828	1.956
CDX2	MA0465.1	Homeo domain factors	HOX-related factors	vertebrates	13.813	0.281	545	465	520	490	1010	0.010	1085	0.011	-7.636	1.949
HOXC12	MA0906.1	Homeo domain factors	HOX-related factors	vertebrates	14.403	0.356	238	772	217	793	295	0.003	279	0.003	3.151	1.942
SRY	MA0084.1	High-mobility group (HMG) domain factors	SOX-related factors	vertebrates	9.193	0.238	688	322	665	345	1738	0.014	1902	0.015	-11.420	1.904
HMBOX1	MA0895.1	Homeo domain factors	POU domain factors	vertebrates	9.583	0.347	585	425	561	449	1112	0.010	1022	0.009	8.900	1.892
NHLH1	MA0048.2	Basic helix-loop-helix factors (bHLH)	Tal-related factors	vertebrates	13.190	0.691	670	340	647	363	1319	0.012	1194	0.011	11.455	1.883
CDX1	MA0878.1	Homeo domain factors	HOX-related factors	vertebrates	9.270	0.234	723	287	701	309	2261	0.018	2469	0.020	-12.742	1.879
PKNOX2	MA0783.1	Homeo domain factors	TALE-type homeo domain factors	vertebrates	21.223	0.512	36	974	27	983	37	0.000	29	0.000	5.112	1.878
Gata4	MA0482.1	Other C4 zinc finger-type factors	GATA-type zinc fingers	vertebrates	13.320	0.388	765	245	744	266	1829	0.018	1657	0.016	14.075	1.877
SPIB	MA0081.1	Tryptophan cluster factors	Ets-related factors	vertebrates	9.060	0.466	996	14	989	21	6016	0.038	5032	0.032	37.220	1.876
MZF1(var.2)	MA0057.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	9.400	0.588	954	56	942	68	4056	0.037	3562	0.032	26.529	1.871
