TF	JASPAR ID	Class	Family	Tax Group	IC	GC Content	Target region hits	Target region non-hits	Background region hits	Background region non-hits	Target TFBS hits	Target TFBS nucleotide rate	Background TFBS hits	Background TFBS nucleotide rate	Z-score	Fisher score
Atf1	MA0604.1	Basic leucine zipper factors (bZIP)	CREB-related factors	vertebrates	10.519	0.476	1291	984	1166	1109	2105	0.007	1884	0.006	14.202	9.093
EGR4	MA0733.1	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	13.890	0.635	476	1799	378	1897	582	0.004	463	0.003	21.970	9.080
SP8	MA0747.1	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	12.140	0.714	1866	409	1766	509	5621	0.028	5272	0.026	16.385	8.978
Tcf12	MA0521.1	Basic helix-loop-helix factors (bHLH)	E2A-related factors	vertebrates	13.159	0.597	2064	211	1986	289	5774	0.026	5553	0.025	9.489	8.962
PAX4	MA0068.2	Paired box factors	Paired plus homeo domain	vertebrates	9.469	0.309	1055	1220	932	1343	1693	0.006	1493	0.005	14.456	8.930
SP3	MA0746.1	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	10.325	0.709	2084	191	2010	265	10342	0.047	9556	0.043	26.627	8.786
KLF14	MA0740.1	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	16.072	0.661	1146	1129	1025	1250	2019	0.012	1795	0.010	19.570	8.602
Dlx2	MA0885.1	Homeo domain factors	NK-related factors	vertebrates	9.033	0.215	1992	283	1910	365	8485	0.028	9094	0.030	-18.830	8.141
PRRX1	MA0716.1	Homeo domain factors	Paired-related HD factors	vertebrates	8.226	0.213	1794	481	1695	580	5734	0.019	6126	0.020	-14.713	8.134
SPIB	MA0081.1	Tryptophan cluster factors	Ets-related factors	vertebrates	9.060	0.466	2251	24	2221	54	12333	0.036	11007	0.032	33.430	7.807
Myog	MA0500.1	Basic helix-loop-helix factors (bHLH)	MyoD / ASC-related factors	vertebrates	13.109	0.621	2168	107	2114	161	8155	0.037	7774	0.035	14.027	7.802
ERF	MA0760.1	Tryptophan cluster factors	Ets-related factors	vertebrates	12.896	0.540	917	1358	807	1468	1267	0.005	1083	0.004	17.507	7.748
NFATC1	MA0624.1	Rel homology region (RHR) factors	NFAT-related factors	vertebrates	8.040	0.411	2065	210	1996	279	6682	0.028	5935	0.024	30.560	7.490
BARHL2	MA0635.1	Homeo domain factors	NK-related factors	vertebrates	8.495	0.352	2079	196	2012	263	10582	0.044	10883	0.045	-9.952	7.470
GATA3	MA0037.2	Other C4 zinc finger-type factors	GATA-type zinc fingers	vertebrates	13.796	0.265	1838	437	1748	527	4960	0.016	4921	0.016	1.212	7.389
MSX1	MA0666.1	Homeo domain factors	NK-related factors	vertebrates	8.661	0.279	1896	379	1811	464	5864	0.019	6079	0.020	-8.285	7.308
Nkx2-5	MA0063.1	Homeo domain factors	NK-related factors	vertebrates	8.270	0.218	1937	338	1856	419	7524	0.022	7964	0.023	-13.628	7.237
Nr2e3	MA0164.1	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	vertebrates	12.028	0.373	537	1738	448	1827	644	0.002	534	0.002	12.471	7.177
GATA5	MA0766.1	Other C4 zinc finger-type factors	GATA-type zinc fingers	vertebrates	8.347	0.307	1982	293	1906	369	6736	0.022	6880	0.023	-5.402	7.131
INSM1	MA0155.1	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers	vertebrates	14.862	0.667	1282	993	1177	1098	2082	0.010	1903	0.009	13.985	6.921
NFATC3	MA0625.1	Rel homology region (RHR) factors	NFAT-related factors	vertebrates	8.847	0.381	1850	425	1765	510	4631	0.019	4198	0.017	20.915	6.885
GMEB2	MA0862.1	SAND domain factors	GMEB	vertebrates	9.886	0.392	751	1524	654	1621	928	0.003	829	0.003	9.573	6.878
CDX1	MA0878.1	Homeo domain factors	HOX-related factors	vertebrates	9.270	0.234	1686	589	1592	683	5178	0.019	5512	0.020	-14.041	6.850
NKX6-1	MA0674.1	Homeo domain factors	NK-related factors	vertebrates	9.183	0.199	1812	463	1725	550	5859	0.019	6014	0.020	-6.116	6.826
SMAD3	MA0795.1	SMAD/NF-1 DNA-binding domain factors	SMAD factors	vertebrates	15.611	0.453	278	1997	213	2062	294	0.001	232	0.001	12.767	6.811
SRF	MA0083.3	MADS box factors	Responders to external signals (SRF/RLM1)	vertebrates	20.984	0.467	21	2254	5	2270	21	0.000	5	0.000	28.523	6.714
SP2	MA0516.1	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	13.721	0.768	2018	257	1949	326	9870	0.061	9209	0.057	26.739	6.670
Ascl2	MA0816.1	Basic helix-loop-helix factors (bHLH)	MyoD / ASC-related factors	vertebrates	12.850	0.580	1456	819	1357	918	2473	0.010	2312	0.010	10.344	6.578
RUNX1	MA0002.2	Runt domain factors	Runt-related factors	vertebrates	10.401	0.502	1865	410	1784	491	4098	0.019	3890	0.018	10.762	6.534
Lhx4	MA0704.1	Homeo domain factors	HD-LIM factors	vertebrates	8.328	0.194	1822	453	1739	536	6188	0.020	6730	0.022	-19.316	6.440
NFATC2	MA0152.1	Rel homology region (RHR) factors	NFAT-related factors	vertebrates	9.859	0.346	1975	300	1904	371	5612	0.016	5083	0.015	19.405	6.376
ETV3	MA0763.1	Tryptophan cluster factors	Ets-related factors	vertebrates	11.632	0.531	951	1324	854	1421	1345	0.006	1160	0.005	16.998	6.315
FOXP3	MA0850.1	Fork head / winged helix factors	Forkhead box (FOX) factors	vertebrates	8.594	0.299	2165	110	2118	157	11765	0.034	12006	0.035	-6.464	6.308
Pparg::Rxra	MA0065.2	Nuclear receptors with C4 zinc fingers::Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)::RXR-related receptors (NR2)	vertebrates	11.663	0.547	767	1508	675	1600	994	0.006	839	0.005	20.548	6.285
ETS1	MA0098.3	Tryptophan cluster factors	Ets-related factors	vertebrates	12.150	0.528	1627	648	1537	738	3134	0.013	2825	0.012	18.161	6.181
MAFG	MA0659.1	Basic leucine zipper factors (bZIP)	Maf-related factors	vertebrates	16.353	0.463	18	2257	4	2271	18	0.000	4	0.000	31.978	6.153
Stat4	MA0518.1	STAT domain factors	STAT factors	vertebrates	13.473	0.446	1405	870	1310	965	2374	0.014	2172	0.013	15.979	6.098
EN1	MA0027.2	Homeo domain factors	NK-related factors	vertebrates	9.349	0.249	1874	401	1798	477	6220	0.020	6647	0.022	-15.397	6.028
TEAD1	MA0090.2	TEA domain factors	TEF-1-related factors	vertebrates	9.508	0.424	2077	198	2020	255	6781	0.028	6295	0.026	19.138	5.894
NFAT5	MA0606.1	Rel homology region (RHR) factors	NFAT-related factors	vertebrates	10.151	0.333	2025	250	1963	312	7221	0.030	6803	0.028	15.751	5.818
Shox2	MA0720.1	Homeo domain factors	Paired-related HD factors	vertebrates	9.249	0.214	1874	401	1800	475	6505	0.021	7021	0.023	-18.052	5.803
SPI1	MA0080.4	Tryptophan cluster factors	Ets-related factors	vertebrates	21.562	0.391	160	2115	115	2160	172	0.001	122	0.001	16.840	5.792
MYBL2	MA0777.1	Tryptophan cluster factors	Myb/SANT domain factors	vertebrates	16.774	0.467	35	2240	15	2260	35	0.000	15	0.000	19.922	5.759
YY2	MA0748.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	11.703	0.548	770	1505	685	1590	971	0.004	856	0.004	12.865	5.576
NKX2-3	MA0672.1	Homeo domain factors	NK-related factors	vertebrates	10.899	0.485	2123	152	2075	200	6305	0.026	6645	0.027	-13.846	5.401
FOXO4	MA0848.1	Fork head / winged helix factors	Forkhead box (FOX) factors	vertebrates	10.660	0.295	2010	265	1950	325	7502	0.022	7705	0.022	-6.618	5.384
RELA	MA0107.1	Rel homology region (RHR) factors	NF-kappaB-related factors	vertebrates	14.757	0.567	852	1423	767	1508	1119	0.005	978	0.004	14.086	5.373
Bcl6	MA0463.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	13.663	0.433	543	1732	470	1805	640	0.004	545	0.003	15.069	5.271
ZBTB33	MA0527.1	C2H2 zinc finger factors	Other factors with up to three adjacent zinc fingers	vertebrates	14.336	0.609	391	1884	327	1948	465	0.003	376	0.002	17.635	5.262
E2F3	MA0469.2	Fork head / winged helix factors	E2F-related factors	vertebrates	21.784	0.442	18	2257	5	2270	18	0.000	5	0.000	24.573	5.256
Rarb(var.2)	MA0858.1	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)	vertebrates	24.795	0.471	26	2249	10	2265	26	0.000	10	0.000	20.781	5.202
Gata4	MA0482.1	Other C4 zinc finger-type factors	GATA-type zinc fingers	vertebrates	13.320	0.388	1748	527	1673	602	4000	0.018	3673	0.017	17.653	5.197
TFCP2	MA0145.3	Grainyhead domain factors	CP2-related factors	vertebrates	11.701	0.441	661	1614	584	1691	799	0.003	724	0.003	8.656	5.160
NKX2-8	MA0673.1	Homeo domain factors	NK-related factors	vertebrates	9.033	0.458	2274	1	2265	10	17635	0.065	17461	0.065	3.324	5.148
FOXD2	MA0847.1	Fork head / winged helix factors	Forkhead box (FOX) factors	vertebrates	8.622	0.249	2180	95	2142	133	13989	0.040	14881	0.043	-20.368	5.134
EGR2	MA0472.2	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	15.289	0.730	1118	1157	1033	1242	1974	0.009	1763	0.008	16.457	5.066
NFIA	MA0670.1	SMAD/NF-1 DNA-binding domain factors	Nuclear factor 1	vertebrates	12.177	0.500	787	1488	707	1568	994	0.004	883	0.004	11.644	5.066
Arnt	MA0004.1	Basic helix-loop-helix factors (bHLH)	PAS domain factors	vertebrates	10.992	0.642	1264	1011	1181	1094	2205	0.005	2077	0.005	6.680	4.909
FOXL1	MA0033.2	Fork head / winged helix factors	Forkhead box (FOX) factors	vertebrates	10.626	0.221	2082	193	2033	242	10065	0.029	10828	0.031	-20.210	4.864
EGR1	MA0162.2	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	13.889	0.785	2133	142	2090	185	13967	0.081	13257	0.077	23.160	4.841
GBX1	MA0889.1	Homeo domain factors	HOX-related factors	vertebrates	10.843	0.319	1317	958	1237	1038	2425	0.010	2329	0.010	6.029	4.696
PITX3	MA0714.1	Homeo domain factors	Paired-related HD factors	vertebrates	8.973	0.406	1824	451	1758	517	4400	0.016	4648	0.017	-11.381	4.682
NRF1	MA0506.1	Basic leucine zipper factors (bZIP)	Jun-related factors	vertebrates	14.300	0.810	1780	495	1712	563	7947	0.036	7575	0.034	13.869	4.673
Pitx1	MA0682.1	Homeo domain factors	Paired-related HD factors	vertebrates	8.584	0.371	1925	350	1865	410	5285	0.017	5682	0.019	-15.424	4.657
RUNX3	MA0684.1	Runt domain factors	Runt-related factors	vertebrates	11.687	0.452	1364	911	1287	988	2069	0.009	2035	0.008	2.123	4.496
HLF	MA0043.2	Basic leucine zipper factors (bZIP)	C/EBP-related	vertebrates	11.834	0.365	1018	1257	941	1334	1585	0.008	1537	0.008	3.998	4.471
Stat6	MA0520.1	STAT domain factors	STAT factors	vertebrates	14.063	0.406	935	1340	859	1416	1295	0.008	1209	0.007	9.353	4.471
RREB1	MA0073.1	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers	vertebrates	22.278	0.623	266	2009	218	2057	288	0.002	257	0.002	8.510	4.434
TAL1::TCF3	MA0091.1	Basic helix-loop-helix factors (bHLH)::Basic helix-loop-helix factors (bHLH)	Tal-related factors::E2A-related factors	vertebrates	14.070	0.453	539	1736	475	1800	640	0.003	554	0.003	12.506	4.391
LBX1	MA0618.1	Homeo domain factors	NK-related factors	vertebrates	10.149	0.240	1561	714	1489	786	3767	0.012	3696	0.012	2.998	4.377
HSF4	MA0771.1	Heat shock factors	HSF factors	vertebrates	13.629	0.398	566	1709	503	1772	673	0.004	581	0.003	13.604	4.195
Arid3a	MA0151.1	ARID domain factors	ARID-related factors	vertebrates	9.896	0.062	1689	586	1623	652	5512	0.014	6023	0.015	-16.591	4.188
RXRG	MA0856.1	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	vertebrates	22.332	0.505	167	2108	130	2145	179	0.001	162	0.001	4.897	4.181
Lhx8	MA0705.1	Homeo domain factors	HD-LIM factors	vertebrates	8.840	0.303	1811	464	1750	525	4734	0.016	4644	0.015	3.400	4.167
BHLHE41	MA0636.1	Basic helix-loop-helix factors (bHLH)	Hairy-related factors	vertebrates	15.486	0.585	544	1731	483	1792	660	0.003	611	0.003	6.120	4.094
Myod1	MA0499.1	Basic helix-loop-helix factors (bHLH)	MyoD / ASC-related factors	vertebrates	13.102	0.600	2111	164	2071	204	6789	0.036	6521	0.035	11.621	4.079
Klf12	MA0742.1	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	16.798	0.612	855	1420	786	1489	1266	0.008	1167	0.007	11.006	4.024
Nobox	MA0125.1	Homeo domain factors	Paired-related HD factors	vertebrates	9.573	0.260	1360	915	1290	985	2687	0.009	2723	0.009	-2.235	3.962
E2F2	MA0864.1	Fork head / winged helix factors	E2F-related factors	vertebrates	23.763	0.395	10	2265	2	2273	10	0.000	2	0.000	22.508	3.955
Dux	MA0611.1	Homeo domain factors	Paired-related HD factors	vertebrates	11.804	0.338	940	1335	872	1403	1444	0.005	1305	0.004	10.703	3.853
TCF7L2	MA0523.1	Basic helix-loop-helix factors (bHLH)	TCF-7-related factors	vertebrates	13.486	0.398	1143	1132	1074	1201	1779	0.010	1725	0.010	4.593	3.824
TEAD4	MA0809.1	TEA domain factors	TEF-1-related factors	vertebrates	9.386	0.418	2013	262	1967	308	6412	0.026	6106	0.025	12.067	3.821
NOTO	MA0710.1	Homeo domain factors	NK-related factors	vertebrates	9.584	0.280	1930	345	1879	396	6832	0.028	7478	0.031	-24.489	3.802
EMX2	MA0886.1	Homeo domain factors	NK-related factors	vertebrates	10.283	0.288	1721	554	1661	614	4501	0.019	4984	0.021	-22.259	3.789
Sox2	MA0143.3	High-mobility group (HMG) domain factors	SOX-related factors	vertebrates	13.532	0.436	2072	203	2031	244	6340	0.021	5940	0.020	14.403	3.767
Klf1	MA0493.1	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	13.595	0.665	1896	379	1844	431	5317	0.024	5067	0.023	11.331	3.729
Atf3	MA0605.1	Basic leucine zipper factors (bZIP)	Fos-related factors	vertebrates	11.483	0.498	1487	788	1422	853	2540	0.008	2439	0.008	5.540	3.727
Rxra	MA0512.2	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	vertebrates	22.648	0.503	123	2152	94	2181	129	0.001	111	0.001	6.303	3.665
SPIC	MA0687.1	Tryptophan cluster factors	Ets-related factors	vertebrates	13.235	0.421	447	1828	395	1880	529	0.003	453	0.003	13.212	3.659
Nr2e1	MA0676.1	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	vertebrates	11.374	0.291	1410	865	1345	930	2729	0.010	2536	0.009	11.258	3.646
LHX6	MA0658.1	Homeo domain factors	HD-LIM factors	vertebrates	10.963	0.288	1080	1195	1014	1261	1802	0.007	1739	0.007	4.542	3.627
EBF1	MA0154.3	Rel homology region (RHR) factors	Early B-Cell Factor-related factors	vertebrates	16.027	0.559	402	1873	353	1922	458	0.003	398	0.002	11.111	3.580
Msx3	MA0709.1	Homeo domain factors	NK-related factors	vertebrates	9.864	0.246	1728	547	1671	604	4742	0.016	5120	0.017	-15.435	3.573
Klf4	MA0039.2	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	12.618	0.771	2148	127	2116	159	13596	0.056	12780	0.053	22.752	3.538
ZBED1	MA0749.1	C2H2 zinc finger factors	BED zinc finger factors	vertebrates	19.052	0.485	32	2243	18	2257	32	0.000	19	0.000	10.683	3.451
E2F1	MA0024.3	Fork head / winged helix factors	E2F-related factors	vertebrates	13.048	0.553	279	1996	239	2036	306	0.002	273	0.001	6.803	3.372
Hnf4a	MA0114.3	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	vertebrates	21.667	0.508	54	2221	36	2239	55	0.000	36	0.000	12.591	3.356
TBX20	MA0689.1	T-Box factors	TBX1-related factors	vertebrates	13.845	0.429	641	1634	586	1689	757	0.003	694	0.003	7.770	3.335
TEF	MA0843.1	TEA domain factors	TEF-1-related factors	vertebrates	14.579	0.317	466	1809	417	1858	591	0.003	559	0.003	4.533	3.325
GLIS2	MA0736.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	16.871	0.758	527	1748	476	1799	658	0.004	590	0.003	10.310	3.301
PDX1	MA0132.2	Homeo domain factors	HOX-related factors	vertebrates	9.911	0.238	1634	641	1579	696	4781	0.016	5454	0.018	-26.378	3.234
BATF3	MA0835.1	Basic leucine zipper factors (bZIP)	B-ATF-related factors	vertebrates	23.217	0.484	26	2249	14	2261	26	0.000	18	0.000	6.988	3.227
BHLHE40	MA0464.2	Basic helix-loop-helix factors (bHLH)	Hairy-related factors	vertebrates	12.695	0.599	1192	1083	1132	1143	1832	0.008	1782	0.007	3.505	3.217
PLAG1	MA0163.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	19.352	0.798	372	1903	329	1946	443	0.003	381	0.002	11.745	3.164
CDX2	MA0465.1	Homeo domain factors	HOX-related factors	vertebrates	13.813	0.281	1212	1063	1153	1122	2283	0.010	2348	0.011	-4.770	3.156
RXRB	MA0855.1	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	vertebrates	23.110	0.505	89	2186	67	2208	93	0.001	79	0.000	5.813	3.137
ZBTB7C	MA0695.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	10.450	0.618	1295	980	1237	1038	2118	0.010	2075	0.010	2.988	3.113
NHLH1	MA0048.2	Basic helix-loop-helix factors (bHLH)	Tal-related factors	vertebrates	13.190	0.691	1483	792	1427	848	2656	0.011	2569	0.011	5.152	3.107
E2F6	MA0471.1	Fork head / winged helix factors	E2F-related factors	vertebrates	13.338	0.693	2181	94	2156	119	11763	0.053	11380	0.052	11.545	3.080
STAT1	MA0137.3	STAT domain factors	STAT factors	vertebrates	14.582	0.415	1437	838	1382	893	2461	0.011	2290	0.010	11.605	3.004
FOXI1	MA0042.2	Fork head / winged helix factors	Forkhead box (FOX) factors	vertebrates	11.617	0.289	1698	577	1648	627	4113	0.012	4222	0.012	-4.784	3.000
Foxj2	MA0614.1	Fork head / winged helix factors	Forkhead box (FOX) factors	vertebrates	11.782	0.247	1732	543	1683	592	4862	0.016	5438	0.018	-22.664	2.995
FOXO6	MA0849.1	Fork head / winged helix factors	Forkhead box (FOX) factors	vertebrates	11.992	0.294	1920	355	1878	397	6102	0.018	6432	0.019	-11.377	2.979
Sox17	MA0078.1	High-mobility group (HMG) domain factors	SOX-related factors	vertebrates	10.502	0.384	1615	660	1564	711	3389	0.013	3271	0.012	5.900	2.936
GATA2	MA0036.2	Other C4 zinc finger-type factors	GATA-type zinc fingers	vertebrates	13.428	0.361	841	1434	788	1487	1213	0.007	1131	0.007	8.908	2.920
HIC2	MA0738.1	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers	vertebrates	8.457	0.634	2273	2	2267	8	18893	0.070	19510	0.072	-14.551	2.910
Hand1::Tcf3	MA0092.1	Basic helix-loop-helix factors (bHLH)::Basic helix-loop-helix factors (bHLH)	Tal-related factors::E2A-related factors	vertebrates	10.144	0.507	1748	527	1701	574	3621	0.015	3471	0.014	7.753	2.889
ZBTB7B	MA0694.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	13.963	0.628	905	1370	852	1423	1221	0.006	1180	0.006	3.919	2.871
