TF	JASPAR ID	Class	Family	Tax Group	IC	GC Content	Target region hits	Target region non-hits	Background region hits	Background region non-hits	Target TFBS hits	Target TFBS nucleotide rate	Background TFBS hits	Background TFBS nucleotide rate	Z-score	Fisher score
TFAP2A(var.3)	MA0872.1	Basic helix-span-helix factors (bHSH)	AP-2	vertebrates	14.096	0.784	459	512	411	560	862	0.011	662	0.008	28.024	4.137
EGR3	MA0732.1	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	18.153	0.721	234	737	194	777	310	0.004	249	0.004	14.918	4.114
SCRT2	MA0744.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	17.902	0.568	117	854	88	883	130	0.002	94	0.001	13.337	3.951
ZIC3	MA0697.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	17.252	0.750	146	825	114	857	166	0.002	135	0.002	10.279	3.945
GCM2	MA0767.1	GCM domain factors	GCM factors	vertebrates	11.005	0.594	650	321	606	365	1174	0.011	1025	0.010	14.669	3.883
MZF1(var.2)	MA0057.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	9.400	0.588	906	65	881	90	3446	0.033	2887	0.028	33.159	3.813
ESR2	MA0258.2	Nuclear receptors with C4 zinc fingers	Steroid hormone receptors (NR3)	vertebrates	13.119	0.581	457	514	412	559	660	0.009	534	0.008	21.087	3.803
RUNX3	MA0684.1	Runt domain factors	Runt-related factors	vertebrates	11.687	0.452	580	391	536	435	891	0.008	841	0.008	5.368	3.722
ETV6	MA0645.1	Tryptophan cluster factors	Ets-related factors	vertebrates	12.354	0.564	752	219	714	257	1550	0.015	1497	0.014	4.226	3.671
IRF2	MA0051.1	Tryptophan cluster factors	Interferon-regulatory factors	vertebrates	21.134	0.412	26	945	13	958	28	0.000	13	0.000	17.594	3.671
ZBTB7C	MA0695.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	10.450	0.618	503	468	459	512	775	0.009	703	0.008	9.337	3.670
ERG	MA0474.2	Tryptophan cluster factors	Ets-related factors	vertebrates	11.781	0.514	728	243	690	281	1365	0.013	1255	0.012	9.749	3.532
IRF7	MA0772.1	Tryptophan cluster factors	Interferon-regulatory factors	vertebrates	17.627	0.419	121	850	94	877	136	0.002	103	0.001	12.115	3.509
STAT1	MA0137.3	STAT domain factors	STAT factors	vertebrates	14.582	0.415	668	303	628	343	1242	0.013	1071	0.011	17.299	3.502
SP2	MA0516.1	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	13.721	0.768	809	162	776	195	3764	0.054	3278	0.047	33.415	3.494
Myog	MA0500.1	Basic helix-loop-helix factors (bHLH)	MyoD / ASC-related factors	vertebrates	13.109	0.621	914	57	892	79	3664	0.038	3065	0.032	36.257	3.482
ID4	MA0824.1	Basic helix-loop-helix factors (bHLH)	HLH domain only	vertebrates	11.591	0.601	883	88	857	114	2731	0.026	2491	0.024	15.210	3.459
ESRRB	MA0141.3	Nuclear receptors with C4 zinc fingers	Steroid hormone receptors (NR3)	vertebrates	16.338	0.420	232	739	198	773	274	0.003	223	0.002	11.272	3.335
NR3C1	MA0113.3	Nuclear receptors with C4 zinc fingers	Steroid hormone receptors (NR3)	vertebrates	19.181	0.483	56	915	38	933	58	0.001	39	0.001	12.495	3.328
RREB1	MA0073.1	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers	vertebrates	22.278	0.623	104	867	80	891	126	0.002	89	0.002	17.489	3.290
GLIS2	MA0736.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	16.871	0.758	207	764	175	796	245	0.003	213	0.003	8.144	3.261
EBF1	MA0154.3	Rel homology region (RHR) factors	Early B-Cell Factor-related factors	vertebrates	16.027	0.559	191	780	160	811	229	0.003	174	0.002	15.548	3.260
NR3C2	MA0727.1	Nuclear receptors with C4 zinc fingers	Steroid hormone receptors (NR3)	vertebrates	18.985	0.510	58	913	40	931	60	0.001	41	0.001	12.185	3.250
MEIS2	MA0774.1	Homeo domain factors	TALE-type homeo domain factors	vertebrates	10.958	0.494	809	162	778	193	1889	0.014	1760	0.013	8.621	3.243
SCRT1	MA0743.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	17.728	0.573	82	889	61	910	85	0.001	65	0.001	9.558	3.195
Hes2	MA0616.1	Basic helix-loop-helix factors (bHLH)	Hairy-related factors	vertebrates	8.309	0.532	394	577	356	615	507	0.006	474	0.006	5.389	3.163
Bcl6	MA0463.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	13.663	0.433	278	693	244	727	341	0.005	280	0.004	13.584	3.088
Gabpa	MA0062.2	Tryptophan cluster factors	Ets-related factors	vertebrates	13.335	0.647	533	438	495	476	857	0.009	828	0.009	3.249	3.073
SMAD3	MA0795.1	SMAD/NF-1 DNA-binding domain factors	SMAD factors	vertebrates	15.611	0.453	117	854	93	878	128	0.001	99	0.001	9.167	3.072
CTCF	MA0139.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	17.205	0.645	109	862	86	885	120	0.002	91	0.002	13.199	3.031
TGIF1	MA0796.1	Homeo domain factors	TALE-type homeo domain factors	vertebrates	22.281	0.543	29	942	17	954	29	0.000	19	0.000	7.895	2.999
RARA(var.2)	MA0730.1	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)	vertebrates	22.768	0.535	17	954	8	963	17	0.000	8	0.000	13.058	2.942
HNF1A	MA0046.2	Homeo domain factors	POU domain factors	vertebrates	15.880	0.226	215	756	186	785	285	0.004	244	0.003	10.106	2.844
NFYB	MA0502.1	Heteromeric CCAAT-binding factors	Heteromeric CCAAT-binding factors	vertebrates	14.488	0.501	261	710	230	741	330	0.005	318	0.005	2.530	2.837
GMEB2	MA0862.1	SAND domain factors	GMEB	vertebrates	9.886	0.392	290	681	258	713	369	0.003	326	0.002	6.677	2.830
Id2	MA0617.1	Basic helix-loop-helix factors (bHLH)	HLH domain only	vertebrates	12.659	0.623	439	532	404	567	602	0.005	587	0.004	1.674	2.817
NFYA	MA0060.2	Heteromeric CCAAT-binding factors	Heteromeric CCAAT-binding factors	vertebrates	16.655	0.516	94	877	74	897	109	0.002	102	0.002	2.885	2.773
SPI1	MA0080.4	Tryptophan cluster factors	Ets-related factors	vertebrates	21.562	0.391	85	886	66	905	89	0.001	72	0.001	7.447	2.757
ETV4	MA0764.1	Tryptophan cluster factors	Ets-related factors	vertebrates	10.625	0.519	646	325	613	358	1098	0.010	1054	0.010	4.191	2.747
MAX::MYC	MA0059.1	Basic helix-loop-helix factors (bHLH)::Basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors::bHLH-ZIP factors	vertebrates	14.237	0.602	181	790	155	816	195	0.002	173	0.002	5.492	2.706
ETS1	MA0098.3	Tryptophan cluster factors	Ets-related factors	vertebrates	12.150	0.528	656	315	624	347	1133	0.011	1039	0.010	9.150	2.675
Rarb(var.2)	MA0858.1	Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)	vertebrates	24.795	0.471	12	959	5	966	12	0.000	5	0.000	12.837	2.647
TCF4	MA0830.1	Basic helix-loop-helix factors (bHLH)	E2A-related factors	vertebrates	11.920	0.625	948	23	936	35	4368	0.042	3828	0.037	27.890	2.646
ETV3	MA0763.1	Tryptophan cluster factors	Ets-related factors	vertebrates	11.632	0.531	343	628	312	659	438	0.004	424	0.004	2.077	2.591
FLI1	MA0475.2	Tryptophan cluster factors	Ets-related factors	vertebrates	13.279	0.533	651	320	620	351	1106	0.011	1045	0.010	5.880	2.575
Nr2e1	MA0676.1	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)	vertebrates	11.374	0.291	635	336	605	366	1331	0.011	1281	0.011	4.093	2.461
SMAD2::SMAD3::SMAD4	MA0513.1	SMAD/NF-1 DNA-binding domain factors::SMAD/NF-1 DNA-binding domain factors::SMAD/NF-1 DNA-binding domain factors	SMAD factors::SMAD factors::SMAD factors	vertebrates	13.704	0.556	366	605	336	635	472	0.006	447	0.006	4.186	2.461
EN2	MA0642.1	Homeo domain factors	NK-related factors	vertebrates	8.619	0.377	854	117	833	138	2622	0.025	2617	0.025	0.136	2.414
FEV	MA0156.2	Tryptophan cluster factors	Ets-related factors	vertebrates	11.713	0.519	665	306	637	334	1160	0.011	1111	0.011	4.554	2.341
ETV1	MA0761.1	Tryptophan cluster factors	Ets-related factors	vertebrates	10.759	0.530	607	364	579	392	1024	0.010	958	0.009	6.661	2.259
Bach1::Mafk	MA0591.1	Basic leucine zipper factors (bZIP)::Basic leucine zipper factors (bZIP)	Jun-related factors::Maf-related factors	vertebrates	18.324	0.548	70	901	56	915	75	0.001	59	0.001	8.018	2.159
PLAG1	MA0163.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	19.352	0.798	141	830	122	849	161	0.002	135	0.002	8.318	2.152
TBP	MA0108.2	TATA-binding proteins	TBP-related factors	vertebrates	10.086	0.377	478	493	451	520	740	0.011	759	0.011	-2.802	2.130
OTX2	MA0712.1	Homeo domain factors	Paired-related HD factors	vertebrates	9.434	0.355	876	95	859	112	3488	0.027	4283	0.033	-35.118	2.123
PAX4	MA0068.2	Paired box factors	Paired plus homeo domain	vertebrates	9.469	0.309	480	491	454	517	826	0.006	820	0.006	0.502	2.055
BHLHE41	MA0636.1	Basic helix-loop-helix factors (bHLH)	Hairy-related factors	vertebrates	15.486	0.585	212	759	191	780	249	0.002	231	0.002	3.686	2.028
NR1H2::RXRA	MA0115.1	Nuclear receptors with C4 zinc fingers::Nuclear receptors with C4 zinc fingers	Thyroid hormone receptor-related factors (NR1)::RXR-related receptors (NR2)	vertebrates	27.878	0.445	6	965	2	969	6	0.000	2	0.000	11.564	1.938
PKNOX1	MA0782.1	Homeo domain factors	TALE-type homeo domain factors	vertebrates	21.435	0.506	54	917	43	928	56	0.001	46	0.001	5.060	1.905
Hand1::Tcf3	MA0092.1	Basic helix-loop-helix factors (bHLH)::Basic helix-loop-helix factors (bHLH)	Tal-related factors::E2A-related factors	vertebrates	10.144	0.507	764	207	744	227	1742	0.017	1462	0.014	23.175	1.895
Stat4	MA0518.1	STAT domain factors	STAT factors	vertebrates	13.473	0.446	622	349	599	372	1145	0.015	1039	0.014	12.252	1.892
BARHL2	MA0635.1	Homeo domain factors	NK-related factors	vertebrates	8.495	0.352	891	80	877	94	5192	0.050	5972	0.057	-33.119	1.892
ELF5	MA0136.2	Tryptophan cluster factors	Ets-related factors	vertebrates	10.425	0.538	858	113	842	129	2249	0.024	2135	0.022	8.104	1.888
MEIS3	MA0775.1	Homeo domain factors	TALE-type homeo domain factors	vertebrates	9.016	0.490	956	15	949	22	4336	0.033	4367	0.033	-1.553	1.835
MAF::NFE2	MA0501.1	Basic leucine zipper factors (bZIP)::Basic leucine zipper factors (bZIP)	Maf-related factors::Jun-related factors	vertebrates	17.621	0.429	63	908	52	919	66	0.001	53	0.001	6.867	1.783
Gata4	MA0482.1	Other C4 zinc finger-type factors	GATA-type zinc fingers	vertebrates	13.320	0.388	794	177	777	194	2019	0.021	1945	0.020	5.460	1.727
Esrra	MA0592.2	Nuclear receptors with C4 zinc fingers	Steroid hormone receptors (NR3)	vertebrates	17.764	0.409	167	804	151	820	190	0.002	164	0.002	6.679	1.721
HSF4	MA0771.1	Heat shock factors	HSF factors	vertebrates	13.629	0.398	239	732	221	750	275	0.003	254	0.003	4.686	1.703
Myc	MA0147.2	Basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	vertebrates	13.032	0.584	743	228	725	246	1469	0.014	1489	0.014	-1.784	1.690
HIC2	MA0738.1	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers	vertebrates	8.457	0.634	970	1	967	4	8642	0.074	8088	0.069	18.850	1.676
TFAP4	MA0691.1	Basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	vertebrates	14.151	0.444	406	565	386	585	554	0.005	495	0.005	8.320	1.660
KLF13	MA0657.1	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	20.517	0.517	37	934	29	942	37	0.001	31	0.001	4.525	1.659
ZEB1	MA0103.2	Homeo domain factors	HD-ZF factors	vertebrates	13.264	0.621	841	130	827	144	2320	0.020	2057	0.018	17.394	1.617
Mafb	MA0117.2	Basic leucine zipper factors (bZIP)	Maf-related factors	vertebrates	11.336	0.444	447	524	428	543	651	0.007	587	0.007	9.082	1.581
Hic1	MA0739.1	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers	vertebrates	9.519	0.606	937	34	929	42	3635	0.031	3793	0.033	-8.022	1.578
Tcf21	MA0832.1	Basic helix-loop-helix factors (bHLH)	Tal-related factors	vertebrates	18.108	0.461	42	929	34	937	44	0.001	39	0.001	2.949	1.578
HEY2	MA0649.1	Basic helix-loop-helix factors (bHLH)	Hairy-related factors	vertebrates	11.968	0.672	485	486	466	505	718	0.007	688	0.007	3.533	1.575
E2F8	MA0865.1	Fork head / winged helix factors	E2F-related factors	vertebrates	20.970	0.542	33	938	26	945	33	0.000	26	0.000	4.707	1.542
GCM1	MA0646.1	GCM domain factors	GCM factors	vertebrates	13.024	0.596	478	493	460	511	716	0.008	653	0.007	8.105	1.514
Crem	MA0609.1	Basic leucine zipper factors (bZIP)	CREB-related factors	vertebrates	12.449	0.416	160	811	147	824	183	0.002	177	0.002	1.370	1.480
JUN(var.2)	MA0489.1	Basic leucine zipper factors (bZIP)	Jun-related factors	vertebrates	13.941	0.426	393	578	376	595	569	0.008	533	0.007	5.755	1.474
IRF8	MA0652.1	Tryptophan cluster factors	Interferon-regulatory factors	vertebrates	22.505	0.465	28	943	22	949	30	0.000	23	0.000	5.412	1.439
Sox3	MA0514.1	High-mobility group (HMG) domain factors	SOX-related factors	vertebrates	13.042	0.401	889	82	879	92	3162	0.030	3314	0.032	-8.679	1.438
Myb	MA0100.2	Tryptophan cluster factors	Myb/SANT domain factors	vertebrates	13.365	0.452	766	205	752	219	1768	0.017	1599	0.015	13.322	1.437
Gmeb1	MA0615.1	SAND domain factors	GMEB	vertebrates	8.363	0.521	222	749	208	763	259	0.004	247	0.004	3.076	1.432
T	MA0009.2	T-Box factors	Brachyury-related factors	vertebrates	18.965	0.510	11	960	7	964	12	0.000	7	0.000	7.497	1.430
CENPB	MA0637.1	Psq-type HTH domain	-	vertebrates	13.999	0.562	182	789	169	802	204	0.003	194	0.003	2.717	1.429
MYF6	MA0667.1	Basic helix-loop-helix factors (bHLH)	MyoD / ASC-related factors	vertebrates	14.583	0.392	244	727	230	741	307	0.003	277	0.003	5.639	1.402
BARX1	MA0875.1	Homeo domain factors	NK-related factors	vertebrates	8.892	0.306	880	91	870	101	4135	0.032	5150	0.039	-41.015	1.399
SOX8	MA0868.1	High-mobility group (HMG) domain factors	SOX-related factors	vertebrates	28.805	0.342	2	969	0	971	2	0.000	0	0.000	NA	1.387
MTF1	MA0863.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	20.407	0.620	12	959	8	963	13	0.000	8	0.000	6.553	1.384
NFIC::TLX1	MA0119.1	SMAD/NF-1 DNA-binding domain factors::Homeo domain factors	Nuclear factor 1::NK-related factors	vertebrates	19.665	0.598	32	939	26	945	33	0.000	26	0.000	5.088	1.376
NR4A2	MA0160.1	Nuclear receptors with C4 zinc fingers	NGFI-B-related receptors (NR4)	vertebrates	10.165	0.491	835	136	824	147	2178	0.017	1996	0.015	11.466	1.347
REL	MA0101.1	Rel homology region (RHR) factors	NF-kappaB-related factors	vertebrates	10.515	0.559	679	292	665	306	1201	0.011	1130	0.011	6.594	1.342
Stat5a::Stat5b	MA0519.1	STAT domain factors::STAT domain factors	STAT factors::STAT factors	vertebrates	13.332	0.399	863	108	853	118	2612	0.027	2400	0.025	14.352	1.339
MZF1	MA0056.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	8.586	0.725	967	4	964	7	10235	0.059	9028	0.052	31.681	1.295
CLOCK	MA0819.1	Basic helix-loop-helix factors (bHLH)	PAS domain factors	vertebrates	11.902	0.508	340	631	327	644	409	0.004	411	0.004	-0.388	1.262
E2F1	MA0024.3	Fork head / winged helix factors	E2F-related factors	vertebrates	13.048	0.553	86	885	78	893	89	0.001	84	0.001	1.840	1.259
Hmx2	MA0897.1	Homeo domain factors	NK-related factors	vertebrates	14.390	0.335	29	942	24	947	29	0.000	25	0.000	3.251	1.242
RXRA::VDR	MA0074.1	Nuclear receptors with C4 zinc fingers::Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)::Thyroid hormone receptor-related factors (NR1)	vertebrates	20.451	0.527	17	954	13	958	17	0.000	13	0.000	4.244	1.235
EGR4	MA0733.1	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	13.890	0.635	170	801	160	811	193	0.003	181	0.003	3.505	1.226
EGR1	MA0162.2	C2H2 zinc finger factors	Three-zinc finger Krüppel-related factors	vertebrates	13.889	0.785	870	101	862	109	5351	0.071	4788	0.064	31.165	1.189
OTX1	MA0711.1	Homeo domain factors	Paired-related HD factors	vertebrates	9.437	0.416	868	103	860	111	2944	0.022	3292	0.025	-17.543	1.184
Stat6	MA0520.1	STAT domain factors	STAT factors	vertebrates	14.063	0.406	414	557	402	569	636	0.009	600	0.009	5.608	1.182
LHX6	MA0658.1	Homeo domain factors	HD-LIM factors	vertebrates	10.963	0.288	491	480	479	492	910	0.009	954	0.009	-4.632	1.175
SOX4	MA0867.1	High-mobility group (HMG) domain factors	SOX-related factors	vertebrates	27.967	0.335	3	968	1	970	3	0.000	1	0.000	7.867	1.164
PRDM1	MA0508.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	15.223	0.380	314	657	303	668	421	0.006	387	0.006	6.621	1.162
Npas2	MA0626.1	Basic helix-loop-helix factors (bHLH)	PAS domain factors	vertebrates	11.517	0.589	662	309	651	320	1148	0.011	1176	0.011	-2.715	1.159
HEY1	MA0823.1	Basic helix-loop-helix factors (bHLH)	Hairy-related factors	vertebrates	12.269	0.677	417	554	406	565	616	0.006	611	0.006	0.552	1.130
Mlxip	MA0622.1	Basic helix-loop-helix factors (bHLH)	bHLH-ZIP factors	vertebrates	12.531	0.625	449	522	438	533	637	0.005	630	0.005	0.708	1.126
GLI2	MA0734.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	14.004	0.616	147	824	139	832	155	0.002	154	0.002	0.222	1.118
ELK1	MA0028.2	Tryptophan cluster factors	Ets-related factors	vertebrates	14.316	0.561	343	628	333	638	438	0.004	474	0.005	-5.318	1.096
Crx	MA0467.1	Homeo domain factors	Paired-related HD factors	vertebrates	12.929	0.404	480	491	470	501	720	0.008	735	0.008	-1.942	1.075
ZNF410	MA0752.1	C2H2 zinc finger factors	More than 3 adjacent zinc finger factors	vertebrates	24.530	0.381	4	967	2	969	4	0.000	2	0.000	5.736	1.069
TP63	MA0525.2	p53 domain factors	p53-related factors	vertebrates	24.335	0.468	4	967	2	969	4	0.000	2	0.000	5.907	1.069
POU4F3	MA0791.1	Homeo domain factors	POU domain factors	vertebrates	13.812	0.287	63	908	58	913	68	0.001	60	0.001	4.082	1.039
GATA2	MA0036.2	Other C4 zinc finger-type factors	GATA-type zinc fingers	vertebrates	13.428	0.361	421	550	412	559	635	0.008	669	0.009	-5.046	1.030
